ID	x	y
1	356.24	53.11
2	719.23	54.34
3	789.34	51.94
4	189.12	53.74
5	122.17	54.45
6	97.13	52.48
7	86.04	54.33
8	636.50	54.62
9	195.57	56.64
10	555.51	57.83
11	109.08	59.02
12	784.45	59.15
13	492.56	61.77
14	709.22	60.13
15	458.69	63.00
16	653.33	62.34
17	691.68	63.73
18	69.99	64.04
19	191.23	65.98
20	589.73	64.19
21	646.33	62.54
22	124.62	65.59
23	287.46	64.42
24	329.30	63.77
25	556.37	64.80
26	348.36	65.83
27	379.85	66.24
28	432.88	65.30
29	603.97	67.11
30	738.12	66.17
31	393.96	66.32
32	466.20	66.65
33	502.33	66.59
34	666.58	66.20
35	784.00	65.50
36	167.61	66.89
37	695.52	72.05
38	90.16	69.94
39	472.11	70.16
40	513.55	73.35
41	546.00	69.00
42	490.83	73.56
43	533.91	71.88
44	558.07	70.80
45	582.08	70.04
46	669.67	72.83
47	771.42	71.04
48	179.60	74.41
49	239.60	71.30
50	314.33	71.85
51	789.93	72.26
52	166.87	73.14
53	752.84	74.85
54	796.58	75.76
55	383.30	74.89
56	391.43	76.26
57	610.14	75.14
58	119.67	76.91
59	189.86	78.02
60	786.15	78.15
61	314.82	78.11
62	292.47	78.66
63	303.92	78.08
64	375.80	79.42
65	606.01	78.86
66	683.39	81.16
67	83.24	79.88
68	269.47	80.87
69	283.08	81.79
70	368.45	81.02
71	660.39	80.03
72	75.71	80.54
73	308.09	81.05
74	337.44	84.22
75	113.40	81.78
76	463.97	82.28
77	398.63	83.32
78	355.75	83.25
79	559.11	85.56
80	670.95	86.45
81	697.47	84.93
82	726.93	85.70
83	349.23	85.67
84	495.22	87.65
85	81.04	87.11
86	121.86	88.26
87	776.68	88.22
88	473.92	87.08
89	749.44	87.65
90	796.90	88.88
91	364.57	88.05
92	622.83	89.62
93	634.64	89.36
94	64.53	88.84
95	528.29	91.64
96	124.55	93.15
97	264.00	93.04
98	359.22	92.30
99	408.12	93.76
100	324.15	95.67
101	394.80	92.89
102	511.11	93.99
103	628.84	93.49
104	144.50	92.62
105	755.50	93.89
106	791.41	94.52
107	796.36	94.98
108	86.67	94.08
109	271.39	94.87
110	564.83	94.50
111	377.18	95.20
112	102.18	98.62
113	301.75	97.81
114	495.32	100.69
115	250.18	100.22
116	309.67	100.50
117	524.84	98.69
118	757.00	98.38
119	364.08	100.12
120	544.01	100.75
121	723.14	99.29
122	741.13	99.29
123	64.94	100.31
124	348.04	100.40
125	789.32	99.72
126	83.92	100.54
