ID	x	y	ap_radius	mag_F336W	mag_F555W	color
1	356.24	53.11	5.0	16.928	17.508	-0.580
2	719.23	54.34	5.0	17.567	18.657	-1.090
3	789.34	51.94	5.0	18.099	18.714	-0.615
4	189.12	53.74	5.0	18.365	19.188	-0.823
5	122.17	54.45	5.0	18.573	20.125	-1.552
6	97.13	52.48	5.0	18.918	19.725	-0.807
7	86.04	54.33	5.0	19.476	20.869	-1.394
8	636.50	54.62	5.0	19.859	20.878	-1.018
9	195.57	56.64	5.0	19.390	21.394	-2.004
10	555.51	57.83	5.0	18.568	19.179	-0.611
11	109.08	59.02	5.0	19.266	20.411	-1.145
12	784.45	59.15	5.0	18.709	19.361	-0.652
13	492.56	61.77	5.0	17.591	17.971	-0.380
14	709.22	60.13	5.0	18.162	18.773	-0.612
15	458.69	63.00	5.0	17.908	18.137	-0.229
16	653.33	62.34	5.0	18.149	18.776	-0.627
17	691.68	63.73	5.0	16.962	17.285	-0.323
18	69.99	64.04	5.0	18.143	19.076	-0.933
19	191.23	65.98	5.0	16.698	16.654	0.043
20	589.73	64.19	5.0	17.892	18.089	-0.197
21	124.62	65.59	5.0	17.068	17.842	-0.775
22	287.46	64.42	5.0	17.337	17.517	-0.180
23	329.30	63.77	5.0	19.118	19.900	-0.782
24	556.37	64.80	5.0	17.838	18.761	-0.923
25	348.36	65.83	5.0	18.124	18.813	-0.688
26	379.85	66.24	5.0	18.135	18.530	-0.395
27	603.97	67.11	5.0	17.831	18.548	-0.717
28	738.12	66.17	5.0	17.694	18.416	-0.722
29	393.96	66.32	5.0	19.337	19.562	-0.225
30	466.20	66.65	5.0	18.016	18.460	-0.444
31	502.33	66.59	5.0	19.854	20.143	-0.289
32	666.58	66.20	5.0	17.830	19.028	-1.198
33	784.00	65.50	5.0	19.271	20.891	-1.621
34	167.61	66.89	5.0	19.455	20.027	-0.573
35	695.52	72.05	5.0	17.791	18.171	-0.380
36	90.16	69.94	5.0	18.358	19.350	-0.992
37	472.11	70.16	5.0	18.719	19.384	-0.665
38	513.55	73.35	5.0	17.355	17.912	-0.557
39	490.83	73.56	5.0	20.382	20.012	0.369
40	533.91	71.88	5.0	17.932	18.860	-0.929
41	558.07	70.80	5.0	18.498	19.228	-0.729
42	582.08	70.04	5.0	18.957	20.399	-1.442
43	669.67	72.83	5.0	17.579	18.043	-0.464
44	771.42	71.04	5.0	19.140	19.759	-0.620
